power,memory Used,u_gpu,u_memory
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
20.12,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
19.93,17.0,0.0,0.0
35.19,669.0,0.0,0.0
133.07,669.0,81.0,33.0
20.13,6.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.03,17.0,0.0,0.0
20.13,17.0,0.0,0.0
118.66,669.0,0.0,0.0
75.26,277.0,65.0,22.0
21.0,17.0,0.0,0.0
19.93,17.0,0.0,0.0
20.03,17.0,0.0,0.0
