power,memory Used,u_gpu,u_memory
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
64.24,592.0,1.0,0.0
63.56,1104.0,28.0,2.0
19.93,6.0,0.0,0.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
57.42,80.0,1.0,0.0
65.28,1104.0,39.0,5.0
61.74,1104.0,28.0,2.0
30.66,80.0,0.0,0.0
64.24,592.0,1.0,0.0
