power,memory Used,u_gpu,u_memory
40.04,415.0,7.0,1.0
44.49,415.0,7.0,1.0
47.3,415.0,4.0,0.0
43.24,415.0,7.0,1.0
41.2,415.0,7.0,1.0
40.62,415.0,3.0,0.0
40.33,415.0,7.0,1.0
40.23,415.0,4.0,0.0
40.03,415.0,6.0,0.0
40.04,415.0,7.0,1.0
40.14,415.0,3.0,0.0
48.84,415.0,7.0,1.0
44.79,415.0,7.0,1.0
42.75,415.0,3.0,0.0
41.1,415.0,7.0,1.0
40.52,415.0,7.0,1.0
40.33,415.0,3.0,0.0
40.33,415.0,7.0,1.0
40.14,415.0,7.0,1.0
40.03,415.0,3.0,0.0
40.13,415.0,7.0,1.0
50.01,415.0,5.0,0.0
44.41,415.0,5.0,0.0
41.88,415.0,7.0,1.0
40.81,415.0,7.0,1.0
40.33,415.0,3.0,0.0
40.14,415.0,7.0,1.0
40.14,415.0,7.0,1.0
40.04,415.0,3.0,0.0
51.54,415.0,7.0,1.0
45.27,415.0,4.0,0.0
42.17,415.0,6.0,0.0
41.01,415.0,7.0,1.0
40.62,415.0,7.0,1.0
40.33,415.0,3.0,0.0
40.13,415.0,7.0,1.0
40.03,415.0,7.0,1.0
40.03,415.0,5.0,0.0
52.42,415.0,7.0,1.0
45.38,415.0,7.0,1.0
41.98,415.0,3.0,0.0
40.81,415.0,7.0,1.0
40.42,415.0,7.0,1.0
40.13,415.0,3.0,0.0
40.03,415.0,7.0,1.0
39.94,415.0,7.0,1.0
53.59,415.0,5.0,0.0
45.47,415.0,7.0,1.0
42.46,415.0,7.0,1.0
41.3,415.0,3.0,0.0
40.52,415.0,7.0,1.0
40.33,415.0,7.0,1.0
40.13,415.0,7.0,1.0
40.03,415.0,7.0,1.0
40.03,415.0,7.0,1.0
