power,memory Used,u_gpu,u_memory
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
27.43,48.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
24.43,22.0,0.0,0.0
27.43,48.0,0.0,0.0
