power,memory Used,u_gpu,u_memory
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,22.0,0.0,0.0
32.86,87.0,0.0,0.0
35.97,341.0,6.0,1.0
24.42,34.0,0.0,0.0
36.07,341.0,0.0,0.0
37.33,25.0,0.0,0.0
24.42,34.0,0.0,0.0
