power,memory Used,u_gpu,u_memory
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
63.09,391.0,4.0,1.0
30.76,61.0,0.0,0.0
31.73,391.0,2.0,0.0
23.45,0.0,0.0,0.0
31.73,391.0,0.0,0.0
