power,memory Used,u_gpu,u_memory
31.98,263.0,0.0,0.0
31.98,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.98,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.98,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.98,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.98,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.97,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.98,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
31.73,263.0,0.0,0.0
23.69,0.0,0.0,0.0
62.13,455.0,0.0,0.0
64.08,455.0,53.0,13.0
66.03,455.0,100.0,32.0
65.75,455.0,100.0,31.0
65.51,455.0,100.0,32.0
65.05,455.0,100.0,32.0
66.03,455.0,100.0,32.0
65.54,455.0,100.0,32.0
65.78,455.0,100.0,32.0
64.32,455.0,100.0,32.0
65.3,455.0,100.0,32.0
65.51,455.0,100.0,32.0
65.05,455.0,100.0,32.0
64.32,455.0,100.0,32.0
64.08,455.0,100.0,31.0
64.08,455.0,100.0,32.0
64.08,455.0,100.0,31.0
64.57,455.0,100.0,32.0
64.08,455.0,100.0,32.0
64.78,455.0,100.0,32.0
64.57,455.0,100.0,32.0
64.57,455.0,100.0,32.0
64.08,455.0,100.0,32.0
63.59,455.0,100.0,32.0
63.83,455.0,100.0,32.0
65.05,455.0,100.0,31.0
63.83,455.0,100.0,32.0
63.83,455.0,100.0,31.0
64.32,455.0,100.0,32.0
64.81,455.0,100.0,32.0
64.32,455.0,100.0,32.0
64.32,455.0,100.0,31.0
64.81,455.0,100.0,32.0
64.81,455.0,100.0,32.0
64.57,455.0,100.0,32.0
64.08,455.0,100.0,31.0
64.32,455.0,100.0,31.0
64.57,455.0,100.0,31.0
64.08,455.0,100.0,32.0
63.83,455.0,100.0,31.0
64.08,455.0,100.0,31.0
64.57,455.0,100.0,32.0
64.08,455.0,100.0,32.0
63.83,455.0,100.0,31.0
64.08,455.0,100.0,31.0
63.83,455.0,100.0,31.0
64.32,455.0,100.0,32.0
64.32,455.0,100.0,31.0
64.08,455.0,100.0,31.0
63.83,455.0,100.0,31.0
64.81,455.0,100.0,32.0
63.83,455.0,100.0,32.0
63.59,455.0,100.0,31.0
63.35,455.0,100.0,31.0
64.57,455.0,100.0,31.0
63.83,455.0,100.0,32.0
63.1,455.0,100.0,31.0
64.08,455.0,100.0,32.0
64.57,455.0,100.0,31.0
63.83,455.0,100.0,32.0
63.59,455.0,100.0,31.0
64.57,455.0,100.0,31.0
64.32,455.0,100.0,31.0
64.81,455.0,100.0,31.0
63.83,455.0,100.0,31.0
63.35,455.0,100.0,31.0
63.35,455.0,100.0,31.0
64.32,455.0,100.0,31.0
64.08,455.0,100.0,31.0
63.35,455.0,100.0,31.0
63.83,455.0,100.0,31.0
64.57,455.0,100.0,31.0
64.32,455.0,100.0,32.0
64.32,455.0,100.0,31.0
63.59,455.0,100.0,31.0
63.35,455.0,100.0,31.0
64.57,455.0,100.0,31.0
63.59,455.0,100.0,32.0
63.83,455.0,100.0,31.0
63.59,455.0,100.0,31.0
64.08,455.0,100.0,31.0
64.57,455.0,100.0,31.0
64.57,455.0,100.0,31.0
64.57,455.0,100.0,31.0
