power,memory Used,u_gpu,u_memory
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
62.46,80.0,15.0,0.0
21.07,0.0,0.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
31.59,75.0,0.0,0.0
66.22,80.0,100.0,0.0
